Store,smartIntent,message,starRating,Month of Fiscal Month,Blank
BP 59015 Woodinville,Store Experience | Customer Dissatisfaction,"This store sucks. I returned 3 pieces of equipment after canceling all services. I was never given a receipt. When I called Xfinity to verify equipment return they didn't have a record yet. Being only 24 hours after the return, I assume it takes a few days to update in the Xfinity corporate system. I drove to the store the next day to ask for a receipt and was told their printers ""sometimes print and sometimes not."" When they don't, an email confirmation of the return is sent in 24 hours. I told the customer service guy it's already past 24 hours. So I'm supposed to wait and see what happens. I went to the Kirkland store today to help my mom work her equipment return and they printed a physical receipt. This store sucks and I hope the manager sees this review. Garbage.",1,25-Feb,59015
BP 59015 Woodinville,Store Experience | Long Wait Time,Come on! 3 representatives and I have been standing here for 30 min trying to return equipment! People literally walking out because it’s taking forever.,1,25-Mar,59015
BP 59015 Woodinville,Store Experience | Staff | Dissatisfaction,People committing fraud work here. Veronica the customer service rep handled my mother in laws account and set up a new mobile line on my mother in laws account without her authorization. Veronica was even using the phone for a few days with calls and texts being made until I noticed it was my mother in laws account when I was helping her untangle the mess Veronica created for her. Terrible !! She should be fired!,1,25-Jan,59015
"BP #1339 South Elgin, IL",Store Experience | Customer Dissatisfaction,"Horrible customer service. I went in because Xfinity straight up stole money from me. I ordered Internet and they sent me 2 pieces of equipment so when the tech came out he said I didn't need both. I tried to get him to take it but he said keep it. I was charged three times for unused equipment. I called Xfinity and chatted with an agent on my phone, they didn't resolve the issue. Instead they tried to upsell me cell service. I got fed up and went to this store. Luis took the equipment back then explained that because Xfinity has a policy of 30 days for the unused equipment he couldn't refund me more than $15. I said that was unacceptable and wanted to talk to a manager. He said there was no manager and to come back tomorrow. I've already wasted hours on this issue. And it's complete bullshit that there was no manager there. But whatever. I'll be looking for another Internet provider so they'll be losing almost $100 in business. But my whole point is Xfinity does this on purpose. They mailed me extra equipment so that they could then charge me extra every month. It's a trash company and I think everyone should know that what they're doing is wrong. Not only wrong but I'm surprised people just take it because they know they're one of the best Internet companies out there. But here's another thing they have money yet they choose to outsource customer service to other countries. Stop giving them business",1,25-Jan,1339
"BP #1339 South Elgin, IL",Store Experience | Long Wait Time,Went to return my router and had to wait 30 minutes.  Why is that something I have to wait for?,1,25-Mar,1339
"BP #1339 South Elgin, IL",Store Experience | Staff | Dissatisfaction,Inept employees,1,25-Mar,1339
"BP #1737 Kentwood, MI",Store Experience | Staff | Appreciation,"Great service, appears to be a busy location so put your patient hat on but the staff are friendly and attentive",5,25-Mar,1737
"BP #1737 Kentwood, MI",Store Experience | Staff | Dissatisfaction,They have the worst Internet I’ve ever had after 9 PM. I have no Internet I’ve officially ordered by Starlink. Can’t wait to be done with this whole organization.,1,25-Mar,1737
BP #51000 Tamarac,Store Experience | Customer Dissatisfaction,"(Translated by Google) Well, I recommend this store in terms of customer service. On December 31, my line was cut off due to an error in the system at 4:30 p.m., I was left without any kind of communication (no calls, no texts), as I could, I connected to a Wi-Fi network and arrived at the store located at Sunrise where the advisors were super rude and were making fun of me in English (they thought I didn't understand), I asked them to lend me a phone so I could call 611 from Xfinity and they told me they weren't authorized… bottom line, no one helped me.” On the contrary, at this headquarters they were super friendly, the Dominican guy (I don't remember his name) lent me the phone and helped me solve everything I had to do on the phone in a very good way. Thank you so much.

Well, I recommend this store in terms of customer service. On December 31 they cut my line due to an error in the system at 16:30, I was left without any kind of communication (no calls, no texts), as I could I connected to a wifi network and I arrived at the store located in Sunrise where the advisors were super rude and were making fun of me in English (they thought I didn't understand), I asked them to lend me a phone to be able to call 611 from Xfinity and they told me that they were not authorized ... with conclusion no one helped me."" On the contrary in this headquarters they were super friendly, the Dominican boy (I don't remember the name) lent me the phone and helped me solve everything I had to do on the phone in a very good way. Thank you very much.

(Original)
Bueno, les recomiendo  este store en cuanto  servicio al cliente. El día 31 de diciembre me cortaron la línea por un error en el sistema a las 16:30, me quedé sin ninguna clase de comunicación (no llamadas, no textos), como pude me conecte a una red wifi y llegué al store localizado en Sunrise donde los asesores fueron súper groseros y se estaban burlando de mí en inglés (pensaron que no entendía), les pedí que me prestaran un teléfono para poder llamar a 611 de Xfinity y me dijeron que no estaban autorizados…conclusión nadie me ayudó”. Por el contrario en esta sede fueron súper amables, el chico dominicano (no recuerdo el nombre) me prestó el teléfono y me ayudó  a solucionar todo lo que tenía que hacer en el teléfono de una muy buena manera. Muchas gracias.

Well, I recommend this store in terms of customer service. On December 31 they cut my line due to an error in the system at 16:30, I was left without any kind of communication (no calls, no texts), as I could I connected to a wifi network and I arrived at the store located in Sunrise where the advisors were super rude and were making fun of me in English (they thought I didn't understand), I asked them to lend me a phone to be able to call 611 from Xfinity and they told me that they were not authorized ... with conclusion no one helped me."" On the contrary in this headquarters they were super friendly, the Dominican boy (I don't remember the name) lent me the phone and helped me solve everything I had to do on the phone in a very good way. Thank you very much.",5,25-Feb,51000
BP #51000 Tamarac,Store Experience | Customer Dissatisfaction,I arrived at 5:58 and they didn't want to serve me.,1,25-Feb,51000
